section_id,article_id,article_title,section_path,heading,level,bert_umap1,bert_umap2,base_value_mean,base_value_std,base_n_runs,base_value_pctile,base_variance_pctile,instruct_value_mean,instruct_value_std,instruct_n_runs,instruct_value_pctile,instruct_variance_pctile
2146,8127,Post-classical history,History by region > Americas,Americas,3,7.42221,0.83723545,40.58340366156706,8.959787845636843,2,0.4191729323308271,0.11315789473684211,52.2524888006021,11.588539780449278,3,0.674812030075188,0.1518796992481203
2147,8127,Post-classical history,History by region > Americas > North America,North America,4,6.998751,0.73830676,198.0217700615238,53.26307083468581,2,0.9492481203007519,0.6067669172932331,164.36985959627984,29.109701109787412,3,0.9755639097744361,0.4650375939849624
2148,8127,Post-classical history,History by region > Americas > North America > Norse contact and the polar regions,Norse contact and the polar regions,5,6.435552,0.78090364,37.51000547370703,16.549039834073366,2,0.3966165413533835,0.21278195488721804,31.257391765673987,15.264003223673825,3,0.46466165413533833,0.22669172932330828
2149,8127,Post-classical history,History by region > Americas > North America > Northern areas,Northern areas,5,6.7959466,0.93665737,49.817814894967256,37.16342929539408,2,0.4845864661654135,0.4575187969924812,33.02050727471566,22.252307314942936,3,0.48947368421052634,0.35601503759398495
2150,8127,Post-classical history,History by region > Americas > Caribbean,Caribbean,4,6.58948,0.6450125,32.190271842649494,7.351071523606799,2,0.3609022556390977,0.09699248120300752,13.64220289931401,9.112456269221825,3,0.24172932330827068,0.10639097744360902
2151,8127,Post-classical history,History by region > Americas > Mesoamerica,Mesoamerica,4,7.180721,1.1581049,86.15874483822151,26.984359232179916,2,0.6969924812030075,0.3424812030075188,45.087166423759605,6.273242638148367,3,0.6142857142857143,0.05902255639097744
2152,8127,Post-classical history,History by region > Americas > South America,South America,4,6.753571,0.9951532,134.37959003654146,8.486437058390933,2,0.8601503759398497,0.10789473684210527,64.17796870905438,29.60201047179138,3,0.7515037593984962,0.47330827067669173
2153,8127,Post-classical history,History by region > Americas > South America > Andes,Andes,5,6.915565,0.99335814,78.62450597436589,27.71427157291334,2,0.6612781954887218,0.3556390977443609,64.59282112190549,24.007095458586715,3,0.7545112781954887,0.3823308270676692
2154,8127,Post-classical history,End of the period,End of the period,2,7.830203,0.47831577,35.02118960211663,18.917770444685875,2,0.37969924812030076,0.24285714285714285,37.35927213895685,19.849003634217656,3,0.5327067669172932,0.31842105263157894
2155,8569,Transport,Introduction,Introduction,0,4.799837,-0.79657847,63.20730346922126,2.9084813336622237,2,0.5710526315789474,0.04097744360902256,50.45795509946973,53.15381577909618,3,0.6605263157894737,0.7285714285714285
2156,8569,Transport,Modes,Modes,2,4.8241596,-0.788324,9.93575337688722,77.46506085936275,2,0.21804511278195488,0.7593984962406015,-40.88264426371848,72.89158782243658,3,0.010902255639097745,0.837218045112782
2157,8569,Transport,Modes > Human-powered,Human-powered,3,4.7850647,-0.79169816,-71.11398117268999,33.76068634174481,2,0.033458646616541354,0.4263157894736842,7.028907328116539,35.436893389943776,3,0.17706766917293232,0.556390977443609
2158,8569,Transport,Modes > Animal-powered,Animal-powered,3,4.7882743,-0.79303586,65.8923949938551,24.899125402631263,2,0.5864661654135338,0.3206766917293233,138.76725467258083,97.40388580429897,3,0.9578947368421052,0.9199248120300751
2159,8569,Transport,Modes > Air,Air,3,4.767815,-0.7783484,-16.991435192569053,49.388379357971125,2,0.11917293233082707,0.5725563909774436,-23.082225913816014,74.55164055157398,3,0.03270676691729323,0.8466165413533835
2160,8569,Transport,Modes > Land,Land,3,4.7870307,-0.82757735,187.97756403296617,195.48487161521342,2,0.9402255639097744,0.9793233082706767,113.07437532828745,75.53788039167891,3,0.9221804511278195,0.85
2161,8569,Transport,Modes > Land > Rail,Rail,4,4.8288226,-0.731514,20.68056724952949,74.37083592921341,2,0.27706766917293235,0.7428571428571429,34.27066163424618,3.572656781702819,3,0.5018796992481203,0.01804511278195489
2162,8569,Transport,Modes > Land > Road,Road,4,4.8001943,-0.77161676,-6.430253028328938,46.00908990854594,2,0.1518796992481203,0.5424812030075188,-34.41933500856709,7.263333536328851,3,0.015413533834586466,0.07518796992481203
2163,8569,Transport,Modes > Water,Water,3,4.923214,-0.68621504,6.530181978774024,94.66966147453857,2,0.19924812030075187,0.8319548872180451,3.60853022536376,65.9687333695418,3,0.14398496240601505,0.8120300751879699
2164,8569,Transport,Modes > Other modes,Other modes,3,4.840135,-0.7412269,-0.8178048492336645,13.870911092227583,2,0.1736842105263158,0.1763157894736842,27.24845612453066,10.04810350138612,3,0.41541353383458646,0.12142857142857143
2165,8569,Transport,Elements > Infrastructure,Infrastructure,3,4.8340855,-0.70963955,22.983479047732743,67.40111465055641,2,0.29473684210526313,0.6981203007518797,-8.045628439017442,42.138560573417074,3,0.07706766917293233,0.6330827067669172
2166,8569,Transport,Elements > Means of transport > Animals,Animals,4,4.809273,-0.7496448,163.2889311525757,73.45571626685039,2,0.91203007518797,0.737593984962406,42.897045176185024,71.93234737079666,3,0.5917293233082707,0.8360902255639098
